date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:12	4528/4528	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2211b0-18f0b751e70%22	https://fhs-news.org/img/sunset.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/sunset.svg	(from https://fhs-news.org/)
12:39:12	877/877	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2236d-18f0b751e67%22	https://fhs-news.org/img/shaded.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/shaded.svg	(from https://fhs-news.org/)
12:39:13	5567/5567	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2215bf-18f0b751e1c%22	https://fhs-news.org/img/lebron.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/lebron.svg	(from https://fhs-news.org/)
12:39:13	22717/22717	---M--	200	added ('OK')	image/png	etag:W/%2258bd-18f0b751e12%22	https://fhs-news.org/img/canvas.png	C:/Users/CSAIn/Schedlink/fhs-news.org/img/canvas.png	(from https://fhs-news.org/)
12:39:13	70243/70243	---M--	200	added ('OK')	image/png	etag:W/%2211263-18f0b751e68%22	https://fhs-news.org/img/skyward.png	C:/Users/CSAIn/Schedlink/fhs-news.org/img/skyward.png	(from https://fhs-news.org/)
12:39:13	15458/15458	---M--	200	added ('OK')	image/png	etag:W/%223c62-18f0b751e14%22	https://fhs-news.org/img/clever.png	C:/Users/CSAIn/Schedlink/fhs-news.org/img/clever.png	(from https://fhs-news.org/)
12:39:13	105391/105391	---M--	200	added ('OK')	image/jpeg	etag:W/%2219baf-18f0b751da1%22	https://fhs-news.org/img/The%20Tiger%20Times-logos.jpeg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/The%20Tiger%20Times-logos.jpg	(from https://fhs-news.org/)
12:39:14	47389/47389	---M--	200	added ('OK')	image/png	etag:W/%22b91d-18f0b751e71%22	https://fhs-news.org/img/the340.png	C:/Users/CSAIn/Schedlink/fhs-news.org/img/the340.png	(from https://fhs-news.org/)
12:39:14	2446/2446	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2298e-18f0b751e18%22	https://fhs-news.org/img/gradcap.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/gradcap.svg	(from https://fhs-news.org/)
12:39:15	3436/3436	---M-Z	200	added ('OK')	text/html	etag:W/%22d6c-18f0b751d9f%22	https://fhs-news.org/clubs	C:/Users/CSAIn/Schedlink/fhs-news.org/clubs.html	(from https://fhs-news.org/)
12:39:15	5927/5927	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%221727-18f0b751e14%22	https://fhs-news.org/img/clubs.svg	C:/Users/CSAIn/Schedlink/fhs-news.org/img/clubs.svg	(from https://fhs-news.org/)
12:39:15	7253/7253	---MCZ	200	added ('OK')	text/html	etag:W/%221c55-18f0b751d9f%22	https://fhs-news.org/calendar	C:/Users/CSAIn/Schedlink/fhs-news.org/calendar.html	(from https://fhs-news.org/)
